,time,customer_no,name,location,hour
62,07:19:00,11,Martha Ramirez,fruit,7
63,07:19:00,14,Larry Prideaux,checkout,7
64,07:19:00,17,Karen Thompson,spices,7
65,07:19:00,18,Denise Greene,dairy,7
66,07:19:00,19,Christopher Best,spices,7
67,07:19:00,26,Jordan Evans,drinks,7
68,07:19:00,27,Barbara Hultgren,fruit,7
69,07:19:00,28,Sherri Strobel,drinks,7
70,07:19:00,29,Antonio Rivet,spices,7
71,07:20:00,10,Lucinda Copes,spices,7
72,07:20:00,12,Yvonne Watson,dairy,7
73,07:20:00,13,Philip Aguirre,checkout,7
74,07:20:00,16,Angel Williams,fruit,7
75,07:20:00,17,Karen Thompson,drinks,7
76,07:20:00,21,Lou Smith,fruit,7
77,07:20:00,23,Danny Johnson,dairy,7
78,07:20:00,28,Sherri Strobel,checkout,7
79,07:20:00,29,Antonio Rivet,fruit,7
80,07:20:00,30,Brenda Genao,spices,7
81,07:20:00,31,Gloria Herrman,spices,7
82,07:20:00,32,Mary Cahill,drinks,7
83,07:20:00,33,Gerard Romero,fruit,7
84,07:20:00,34,Wilbert Pace,dairy,7
85,07:20:00,35,Thomas Johnson,dairy,7
86,07:21:00,16,Angel Williams,dairy,7
87,07:21:00,21,Lou Smith,checkout,7
88,07:21:00,33,Gerard Romero,drinks,7
89,07:21:00,35,Thomas Johnson,drinks,7
90,07:21:00,36,Larry Zepeda,spices,7
91,07:21:00,37,Jackie Huerta,dairy,7
92,07:22:00,18,Denise Greene,checkout,7
93,07:22:00,19,Christopher Best,checkout,7
94,07:22:00,23,Danny Johnson,spices,7
95,07:22:00,25,Morgan Thomason,spices,7
96,07:22:00,27,Barbara Hultgren,dairy,7
97,07:22:00,31,Gloria Herrman,drinks,7
98,07:22:00,33,Gerard Romero,checkout,7
99,07:22:00,34,Wilbert Pace,drinks,7
100,07:22:00,36,Larry Zepeda,dairy,7
101,07:22:00,37,Jackie Huerta,checkout,7
102,07:23:00,11,Martha Ramirez,drinks,7
103,07:23:00,23,Danny Johnson,checkout,7
104,07:23:00,25,Morgan Thomason,dairy,7
105,07:23:00,30,Brenda Genao,dairy,7
106,07:23:00,38,Pamela Clark,dairy,7
107,07:23:00,39,Pat Montoya,spices,7
108,07:24:00,10,Lucinda Copes,fruit,7
109,07:24:00,11,Martha Ramirez,checkout,7
110,07:24:00,16,Angel Williams,checkout,7
111,07:24:00,25,Morgan Thomason,checkout,7
112,07:24:00,27,Barbara Hultgren,spices,7
113,07:24:00,29,Antonio Rivet,checkout,7
114,07:24:00,34,Wilbert Pace,spices,7
115,07:24:00,35,Thomas Johnson,spices,7
116,07:24:00,38,Pamela Clark,checkout,7
117,07:24:00,39,Pat Montoya,checkout,7
118,07:25:00,10,Lucinda Copes,checkout,7
119,07:25:00,12,Yvonne Watson,drinks,7
120,07:25:00,27,Barbara Hultgren,checkout,7
121,07:25:00,30,Brenda Genao,checkout,7
122,07:25:00,31,Gloria Herrman,checkout,7
123,07:25:00,40,Marsha Tarver,dairy,7
124,07:26:00,17,Karen Thompson,checkout,7
125,07:26:00,26,Jordan Evans,checkout,7
126,07:26:00,32,Mary Cahill,spices,7
127,07:26:00,36,Larry Zepeda,spices,7
128,07:26:00,40,Marsha Tarver,checkout,7
129,07:27:00,34,Wilbert Pace,drinks,7
130,07:27:00,41,Maria Curb,drinks,7
131,07:28:00,36,Larry Zepeda,drinks,7
132,07:28:00,42,Ralph Marshall,drinks,7
133,07:28:00,43,Lois No,fruit,7
134,07:29:00,12,Yvonne Watson,spices,7
135,07:29:00,32,Mary Cahill,checkout,7
136,07:29:00,35,Thomas Johnson,checkout,7
137,07:29:00,41,Maria Curb,checkout,7
138,07:29:00,44,Brian Thiele,spices,7
139,07:29:00,45,Helen Jones,dairy,7
140,07:30:00,34,Wilbert Pace,checkout,7
141,07:30:00,44,Brian Thiele,fruit,7
142,07:30:00,46,Martha Gaddy,spices,7
143,07:30:00,47,Catina Hamilton,fruit,7
144,07:30:00,48,Fay Newberry,spices,7
145,07:30:00,49,Melissa Castoe,fruit,7
146,07:31:00,44,Brian Thiele,drinks,7
147,07:31:00,48,Fay Newberry,dairy,7
148,07:31:00,50,Melodee Harris,dairy,7
149,07:31:00,51,Jennifer Johnson,fruit,7
150,07:31:00,52,Glenda Wise,fruit,7
151,07:31:00,53,Mark Elbert,drinks,7
152,07:31:00,54,Erin Lee,drinks,7
153,07:32:00,12,Yvonne Watson,fruit,7
154,07:32:00,42,Ralph Marshall,checkout,7
155,07:32:00,43,Lois No,checkout,7
156,07:32:00,46,Martha Gaddy,fruit,7
157,07:32:00,49,Melissa Castoe,dairy,7
158,07:32:00,50,Melodee Harris,checkout,7
159,07:32:00,53,Mark Elbert,checkout,7
160,07:32:00,55,Kenneth Collier,dairy,7
161,07:32:00,56,Cassondra Mccright,drinks,7
162,07:33:00,45,Helen Jones,drinks,7
163,07:33:00,48,Fay Newberry,checkout,7
164,07:33:00,56,Cassondra Mccright,checkout,7
165,07:33:00,57,Frank Knapp,fruit,7
166,07:34:00,57,Frank Knapp,spices,7
167,07:35:00,12,Yvonne Watson,dairy,7
168,07:35:00,36,Larry Zepeda,checkout,7
169,07:35:00,44,Brian Thiele,checkout,7
170,07:35:00,45,Helen Jones,fruit,7
171,07:35:00,49,Melissa Castoe,drinks,7
172,07:35:00,51,Jennifer Johnson,spices,7
173,07:35:00,54,Erin Lee,checkout,7
174,07:36:00,51,Jennifer Johnson,checkout,7
175,07:36:00,57,Frank Knapp,dairy,7
176,07:36:00,58,Tanya Guillen,dairy,7
177,07:36:00,59,Elliot Nieto,drinks,7
178,07:36:00,60,Dusty Thurman,spices,7
179,07:36:00,61,Richard Hicks,fruit,7
180,07:37:00,49,Melissa Castoe,checkout,7
181,07:37:00,57,Frank Knapp,spices,7
182,07:37:00,60,Dusty Thurman,dairy,7
183,07:37:00,62,Anna Conner,drinks,7
184,07:38:00,46,Martha Gaddy,spices,7
185,07:39:00,46,Martha Gaddy,checkout,7
186,07:39:00,47,Catina Hamilton,checkout,7
187,07:39:00,55,Kenneth Collier,drinks,7
188,07:39:00,57,Frank Knapp,dairy,7
189,07:39:00,58,Tanya Guillen,spices,7
190,07:39:00,59,Elliot Nieto,spices,7
191,07:39:00,62,Anna Conner,checkout,7
192,07:40:00,59,Elliot Nieto,checkout,7
193,07:40:00,63,Maryjo Barnes,drinks,7
194,07:40:00,64,Jessica Smith,dairy,7
195,07:41:00,12,Yvonne Watson,checkout,7
196,07:41:00,45,Helen Jones,spices,7
197,07:41:00,55,Kenneth Collier,checkout,7
198,07:41:00,61,Richard Hicks,checkout,7
199,07:41:00,64,Jessica Smith,drinks,7
200,07:41:00,65,Terry Reed,dairy,7
201,07:41:00,66,Mary Baker,fruit,7
202,07:41:00,67,Amy Jacobs,fruit,7
203,07:41:00,68,Ruby Swaby,dairy,7
204,07:41:00,69,Willie Lewis,fruit,7
205,07:41:00,70,Elizabeth Baptiste,fruit,7
206,07:42:00,52,Glenda Wise,checkout,7
207,07:42:00,58,Tanya Guillen,dairy,7
208,07:42:00,66,Mary Baker,checkout,7
209,07:42:00,69,Willie Lewis,checkout,7
210,07:42:00,71,Janice Reale,fruit,7
211,07:42:00,72,Susan James,spices,7
212,07:42:00,73,Ethel Perales,spices,7
213,07:43:00,45,Helen Jones,dairy,7
214,07:43:00,58,Tanya Guillen,fruit,7
215,07:43:00,63,Maryjo Barnes,checkout,7
216,07:43:00,67,Amy Jacobs,checkout,7
217,07:43:00,72,Susan James,checkout,7
218,07:43:00,73,Ethel Perales,drinks,7
219,07:44:00,57,Frank Knapp,checkout,7
220,07:44:00,64,Jessica Smith,checkout,7
221,07:44:00,71,Janice Reale,drinks,7
222,07:44:00,73,Ethel Perales,checkout,7
223,07:45:00,58,Tanya Guillen,checkout,7
224,07:46:00,65,Terry Reed,fruit,7
225,07:46:00,68,Ruby Swaby,checkout,7
226,07:46:00,71,Janice Reale,spices,7
227,07:47:00,65,Terry Reed,checkout,7
228,07:47:00,70,Elizabeth Baptiste,checkout,7
229,07:47:00,71,Janice Reale,fruit,7
230,07:47:00,74,Joseph Ailes,dairy,7
231,07:47:00,75,Ethel Nodine,drinks,7
232,07:47:00,76,Fred Summers,drinks,7
233,07:47:00,77,Annette Tolbert,fruit,7
234,07:48:00,60,Dusty Thurman,drinks,7
235,07:48:00,71,Janice Reale,dairy,7
236,07:48:00,76,Fred Summers,checkout,7
237,07:49:00,45,Helen Jones,checkout,7
238,07:49:00,77,Annette Tolbert,checkout,7
239,07:50:00,78,Cheryl Jenkins,dairy,7
240,07:50:00,79,Paige Tower,fruit,7
241,07:50:00,80,Lucille Cannaday,drinks,7
242,07:50:00,81,Paul Hedges,fruit,7
243,07:50:00,82,Faith Estrada,spices,7
244,07:50:00,83,Nell Smith,dairy,7
245,07:51:00,79,Paige Tower,checkout,7
246,07:51:00,80,Lucille Cannaday,fruit,7
247,07:51:00,82,Faith Estrada,drinks,7
248,07:51:00,84,Richard Williams,spices,7
249,07:51:00,85,Cynthia Reiter,dairy,7
250,07:51:00,86,Jesusa Smith,drinks,7
251,07:52:00,60,Dusty Thurman,spices,7
252,07:52:00,71,Janice Reale,checkout,7
253,07:52:00,78,Cheryl Jenkins,drinks,7
254,07:52:00,80,Lucille Cannaday,spices,7
255,07:52:00,81,Paul Hedges,checkout,7
256,07:52:00,83,Nell Smith,spices,7
257,07:52:00,84,Richard Williams,fruit,7
258,07:52:00,85,Cynthia Reiter,drinks,7
259,07:52:00,86,Jesusa Smith,checkout,7
260,07:52:00,87,James English,spices,7
261,07:52:00,88,Howard Cornett,spices,7
262,07:52:00,89,Eddie Verrastro,fruit,7
263,07:52:00,90,Mark Bolton,fruit,7
264,07:53:00,75,Ethel Nodine,fruit,7
265,07:53:00,83,Nell Smith,dairy,7
266,07:53:00,88,Howard Cornett,fruit,7
267,07:53:00,90,Mark Bolton,dairy,7
268,07:54:00,60,Dusty Thurman,dairy,7
269,07:54:00,78,Cheryl Jenkins,checkout,7
270,07:54:00,87,James English,checkout,7
271,07:54:00,89,Eddie Verrastro,checkout,7
272,07:54:00,91,Ronald Vanschoick,fruit,7
273,07:54:00,92,Glenn Chin,fruit,7
274,07:55:00,74,Joseph Ailes,fruit,7
275,07:55:00,80,Lucille Cannaday,fruit,7
276,07:55:00,82,Faith Estrada,checkout,7
277,07:55:00,92,Glenn Chin,dairy,7
278,07:55:00,93,Liberty Hatcher,dairy,7
279,07:55:00,94,Kathleen Dunn,fruit,7
280,07:56:00,74,Joseph Ailes,dairy,7
281,07:56:00,91,Ronald Vanschoick,drinks,7
282,07:56:00,92,Glenn Chin,checkout,7
283,07:56:00,94,Kathleen Dunn,checkout,7
284,07:56:00,95,Michelle Phillips,spices,7
285,07:56:00,96,Virginia Collins,spices,7
286,07:57:00,74,Joseph Ailes,fruit,7
287,07:57:00,85,Cynthia Reiter,checkout,7
288,07:57:00,90,Mark Bolton,checkout,7
289,07:57:00,91,Ronald Vanschoick,checkout,7
290,07:57:00,93,Liberty Hatcher,fruit,7
291,07:57:00,95,Michelle Phillips,checkout,7
292,07:57:00,96,Virginia Collins,fruit,7
293,07:58:00,75,Ethel Nodine,checkout,7
294,07:58:00,84,Richard Williams,dairy,7
295,07:58:00,88,Howard Cornett,drinks,7
296,07:59:00,74,Joseph Ailes,drinks,7
297,07:59:00,80,Lucille Cannaday,spices,7
298,07:59:00,93,Liberty Hatcher,checkout,7
299,08:00:00,60,Dusty Thurman,fruit,8
300,08:00:00,80,Lucille Cannaday,checkout,8
301,08:01:00,60,Dusty Thurman,checkout,8
302,08:01:00,83,Nell Smith,spices,8
303,08:01:00,84,Richard Williams,checkout,8
304,08:01:00,96,Virginia Collins,dairy,8
305,08:02:00,74,Joseph Ailes,checkout,8
306,08:02:00,83,Nell Smith,checkout,8
307,08:02:00,88,Howard Cornett,fruit,8
308,08:02:00,97,Robert Book,spices,8
309,08:02:00,98,Nancy Vue,fruit,8
310,08:02:00,99,Ronald Pearson,fruit,8
311,08:02:00,100,Vickie Daquilante,dairy,8
312,08:02:00,101,Steve Butler,dairy,8
313,08:03:00,97,Robert Book,dairy,8
314,08:03:00,102,Jennifer Stacy,spices,8
315,08:03:00,103,Ester Davis,dairy,8
316,08:03:00,104,Brian Miller,drinks,8
317,08:04:00,99,Ronald Pearson,dairy,8
318,08:04:00,101,Steve Butler,checkout,8
319,08:04:00,102,Jennifer Stacy,dairy,8
320,08:04:00,103,Ester Davis,drinks,8
321,08:04:00,104,Brian Miller,checkout,8
322,08:04:00,105,Marianne Gibeau,dairy,8
323,08:04:00,106,Geneva Triplett,fruit,8
324,08:05:00,88,Howard Cornett,spices,8
325,08:05:00,103,Ester Davis,spices,8
326,08:05:00,105,Marianne Gibeau,checkout,8
327,08:05:00,107,Miriam Perdue,fruit,8
328,08:05:00,108,Robert Wade,drinks,8
329,08:06:00,88,Howard Cornett,checkout,8
330,08:06:00,98,Nancy Vue,checkout,8
331,08:06:00,103,Ester Davis,fruit,8
332,08:06:00,107,Miriam Perdue,dairy,8
333,08:06:00,108,Robert Wade,spices,8
334,08:07:00,96,Virginia Collins,checkout,8
335,08:07:00,97,Robert Book,checkout,8
336,08:07:00,107,Miriam Perdue,checkout,8
337,08:07:00,109,Joseph Frost,dairy,8
338,08:07:00,110,Louis Brink,spices,8
339,08:08:00,99,Ronald Pearson,checkout,8
340,08:08:00,103,Ester Davis,checkout,8
341,08:08:00,109,Joseph Frost,checkout,8
342,08:08:00,110,Louis Brink,drinks,8
343,08:09:00,106,Geneva Triplett,checkout,8
344,08:09:00,108,Robert Wade,checkout,8
345,08:09:00,110,Louis Brink,spices,8
346,08:09:00,111,Peggy Caldwell,fruit,8
347,08:10:00,100,Vickie Daquilante,drinks,8
348,08:10:00,112,Olivia Gruis,dairy,8
349,08:10:00,113,Deborah Ferro,spices,8
350,08:10:00,114,Mary Winkler,fruit,8
351,08:11:00,110,Louis Brink,drinks,8
352,08:11:00,113,Deborah Ferro,dairy,8
353,08:11:00,114,Mary Winkler,checkout,8
354,08:11:00,115,William Lonergan,fruit,8
355,08:11:00,116,Lorna Gentry,dairy,8
356,08:11:00,117,Edward Vela,spices,8
357,08:12:00,100,Vickie Daquilante,checkout,8
358,08:12:00,110,Louis Brink,spices,8
359,08:12:00,117,Edward Vela,drinks,8
360,08:13:00,110,Louis Brink,checkout,8
361,08:13:00,111,Peggy Caldwell,checkout,8
362,08:13:00,118,Robert Lugo,dairy,8
363,08:13:00,119,Ismael Miller,dairy,8
364,08:13:00,120,Marilyn Taylor,drinks,8
365,08:14:00,113,Deborah Ferro,checkout,8
366,08:14:00,115,William Lonergan,checkout,8
367,08:14:00,117,Edward Vela,checkout,8
368,08:14:00,119,Ismael Miller,drinks,8
369,08:14:00,120,Marilyn Taylor,checkout,8
370,08:14:00,121,William Battaglia,dairy,8
371,08:14:00,122,Maria Thomason,dairy,8
372,08:14:00,123,John Boday,spices,8
373,08:14:00,124,Stacie Rooney,dairy,8
374,08:14:00,125,Bonnie Harkins,fruit,8
375,08:15:00,118,Robert Lugo,checkout,8
376,08:15:00,119,Ismael Miller,checkout,8
377,08:15:00,121,William Battaglia,spices,8
378,08:15:00,126,Joel Forshey,spices,8
379,08:16:00,116,Lorna Gentry,checkout,8
380,08:16:00,122,Maria Thomason,fruit,8
381,08:16:00,123,John Boday,fruit,8
382,08:16:00,126,Joel Forshey,drinks,8
383,08:17:00,112,Olivia Gruis,spices,8
384,08:17:00,122,Maria Thomason,checkout,8
385,08:17:00,124,Stacie Rooney,checkout,8
386,08:17:00,125,Bonnie Harkins,dairy,8
387,08:17:00,127,Elizebeth Stephens,dairy,8
388,08:17:00,128,Julio Rogers,spices,8
389,08:17:00,129,Ellen Jones,drinks,8
390,08:18:00,102,Jennifer Stacy,drinks,8
391,08:18:00,112,Olivia Gruis,dairy,8
392,08:18:00,123,John Boday,dairy,8
393,08:18:00,126,Joel Forshey,spices,8
394,08:18:00,128,Julio Rogers,drinks,8
395,08:19:00,121,William Battaglia,drinks,8
396,08:19:00,130,Bennie Stargell,fruit,8
397,08:20:00,126,Joel Forshey,fruit,8
398,08:20:00,130,Bennie Stargell,dairy,8
399,08:21:00,102,Jennifer Stacy,spices,8
400,08:21:00,125,Bonnie Harkins,drinks,8
401,08:21:00,127,Elizebeth Stephens,fruit,8
402,08:21:00,129,Ellen Jones,checkout,8
403,08:21:00,131,Joaquin Johns,fruit,8
404,08:21:00,132,Caren Mclaurin,fruit,8
405,08:21:00,133,Donald Brown,dairy,8
406,08:22:00,127,Elizebeth Stephens,checkout,8
407,08:22:00,133,Donald Brown,spices,8
408,08:23:00,102,Jennifer Stacy,dairy,8
409,08:23:00,112,Olivia Gruis,checkout,8
410,08:23:00,125,Bonnie Harkins,checkout,8
411,08:23:00,128,Julio Rogers,checkout,8
412,08:23:00,133,Donald Brown,checkout,8
413,08:24:00,102,Jennifer Stacy,spices,8
414,08:24:00,131,Joaquin Johns,dairy,8
415,08:25:00,102,Jennifer Stacy,checkout,8
416,08:25:00,121,William Battaglia,checkout,8
417,08:25:00,126,Joel Forshey,spices,8
418,08:25:00,134,George Waguespack,spices,8
419,08:25:00,135,Odessa Thill,drinks,8
420,08:25:00,136,Bessie Williams,dairy,8
421,08:26:00,126,Joel Forshey,fruit,8
422,08:26:00,132,Caren Mclaurin,dairy,8
423,08:26:00,134,George Waguespack,drinks,8
424,08:26:00,135,Odessa Thill,checkout,8
425,08:26:00,136,Bessie Williams,drinks,8
426,08:27:00,132,Caren Mclaurin,spices,8
427,08:27:00,134,George Waguespack,checkout,8
428,08:27:00,137,Terrence Williams,drinks,8
429,08:27:00,138,Ann Chan,dairy,8
430,08:27:00,139,Alecia Oconnell,spices,8
431,08:27:00,140,Yuri Castillo,dairy,8
432,08:28:00,126,Joel Forshey,checkout,8
433,08:28:00,131,Joaquin Johns,checkout,8
434,08:28:00,132,Caren Mclaurin,drinks,8
435,08:28:00,139,Alecia Oconnell,drinks,8
436,08:28:00,140,Yuri Castillo,fruit,8
437,08:28:00,141,Robert Glass,fruit,8
438,08:28:00,142,Paul Rodrigues,fruit,8
439,08:28:00,143,Wilber Carlin,spices,8
440,08:28:00,144,Sidney Bradshaw,spices,8
441,08:28:00,145,Rebecca Castillo,fruit,8
442,08:28:00,146,Edward Keith,spices,8
443,08:28:00,147,Jon Spaulding,dairy,8
444,08:28:00,148,Michael Rutledge,spices,8
445,08:29:00,136,Bessie Williams,spices,8
446,08:29:00,137,Terrence Williams,dairy,8
447,08:29:00,138,Ann Chan,checkout,8
448,08:29:00,146,Edward Keith,dairy,8
449,08:29:00,147,Jon Spaulding,spices,8
450,08:29:00,148,Michael Rutledge,drinks,8
451,08:29:00,149,Pamela Powell,spices,8
452,08:29:00,150,Delia Cordell,dairy,8
453,08:29:00,151,Robin Pitts,spices,8
454,08:30:00,132,Caren Mclaurin,checkout,8
455,08:30:00,136,Bessie Williams,dairy,8
456,08:30:00,141,Robert Glass,checkout,8
457,08:30:00,144,Sidney Bradshaw,dairy,8
458,08:30:00,145,Rebecca Castillo,spices,8
459,08:30:00,146,Edward Keith,checkout,8
460,08:30:00,147,Jon Spaulding,fruit,8
461,08:30:00,148,Michael Rutledge,fruit,8
462,08:30:00,149,Pamela Powell,drinks,8
463,08:30:00,151,Robin Pitts,drinks,8
464,08:30:00,152,Abbey Sabella,spices,8
465,08:30:00,153,Michelle Malone,fruit,8
466,08:30:00,154,Kathy Cook,fruit,8
467,08:30:00,155,Jayson Schuller,fruit,8
468,08:30:00,156,Jason Severtson,dairy,8
469,08:30:00,157,Steven Henderson,drinks,8
470,08:30:00,158,Travis Wells,drinks,8
471,08:30:00,159,Robert Synder,fruit,8
472,08:31:00,136,Bessie Williams,fruit,8
473,08:31:00,137,Terrence Williams,drinks,8
474,08:31:00,140,Yuri Castillo,checkout,8
475,08:31:00,143,Wilber Carlin,checkout,8
476,08:31:00,144,Sidney Bradshaw,spices,8
477,08:31:00,145,Rebecca Castillo,checkout,8
478,08:31:00,152,Abbey Sabella,fruit,8
479,08:32:00,137,Terrence Williams,checkout,8
480,08:32:00,139,Alecia Oconnell,fruit,8
481,08:32:00,144,Sidney Bradshaw,checkout,8
482,08:32:00,147,Jon Spaulding,drinks,8
483,08:32:00,148,Michael Rutledge,checkout,8
484,08:32:00,149,Pamela Powell,fruit,8
485,08:32:00,153,Michelle Malone,checkout,8
486,08:32:00,155,Jayson Schuller,drinks,8
487,08:32:00,160,Elizabeth Wojcik,fruit,8
488,08:32:00,161,Willie Josilowsky,dairy,8
489,08:32:00,162,Randy Nichols,dairy,8
490,08:33:00,130,Bennie Stargell,drinks,8
491,08:33:00,142,Paul Rodrigues,checkout,8
492,08:33:00,147,Jon Spaulding,spices,8
493,08:33:00,149,Pamela Powell,checkout,8
494,08:33:00,152,Abbey Sabella,checkout,8
495,08:33:00,154,Kathy Cook,dairy,8
496,08:33:00,157,Steven Henderson,checkout,8
497,08:33:00,158,Travis Wells,fruit,8
498,08:33:00,159,Robert Synder,checkout,8
499,08:33:00,160,Elizabeth Wojcik,spices,8
500,08:33:00,161,Willie Josilowsky,fruit,8
501,08:33:00,163,Ernestine Jarvis,dairy,8
502,08:33:00,164,Jennie Monroe,dairy,8
503,08:33:00,165,Heidi Kavanaugh,dairy,8
504,08:33:00,166,Jeffrey Call,fruit,8
505,08:34:00,130,Bennie Stargell,checkout,8
506,08:34:00,147,Jon Spaulding,checkout,8
507,08:34:00,150,Delia Cordell,checkout,8
508,08:34:00,158,Travis Wells,dairy,8
509,08:34:00,161,Willie Josilowsky,dairy,8
510,08:34:00,162,Randy Nichols,drinks,8
511,08:34:00,164,Jennie Monroe,checkout,8
512,08:35:00,156,Jason Severtson,checkout,8
513,08:35:00,160,Elizabeth Wojcik,dairy,8
514,08:35:00,162,Randy Nichols,fruit,8
515,08:35:00,163,Ernestine Jarvis,drinks,8
516,08:35:00,165,Heidi Kavanaugh,checkout,8
517,08:35:00,167,Bradly Lambert,dairy,8
518,08:36:00,136,Bessie Williams,checkout,8
519,08:36:00,139,Alecia Oconnell,checkout,8
520,08:36:00,160,Elizabeth Wojcik,checkout,8
521,08:36:00,162,Randy Nichols,dairy,8
522,08:36:00,166,Jeffrey Call,checkout,8
523,08:36:00,168,Clair Bailey,spices,8
524,08:36:00,169,Sharon Johnson,fruit,8
525,08:36:00,170,Debra Crom,spices,8
526,08:36:00,171,Joshua Demartino,fruit,8
527,08:36:00,172,Robert Gray,drinks,8
528,08:37:00,123,John Boday,spices,8
529,08:37:00,151,Robin Pitts,spices,8
530,08:37:00,155,Jayson Schuller,fruit,8
531,08:37:00,158,Travis Wells,drinks,8
532,08:37:00,162,Randy Nichols,drinks,8
533,08:37:00,163,Ernestine Jarvis,fruit,8
534,08:37:00,173,Lisa Lotton,spices,8
535,08:37:00,174,Valerie Walters,drinks,8
536,08:37:00,175,Joseph Mussell,fruit,8
537,08:37:00,176,Eva Jones,drinks,8
538,08:38:00,123,John Boday,fruit,8
539,08:38:00,161,Willie Josilowsky,drinks,8
540,08:38:00,168,Clair Bailey,dairy,8
541,08:38:00,170,Debra Crom,checkout,8
542,08:38:00,171,Joshua Demartino,dairy,8
543,08:38:00,172,Robert Gray,fruit,8
544,08:38:00,174,Valerie Walters,checkout,8
545,08:38:00,175,Joseph Mussell,checkout,8
546,08:38:00,176,Eva Jones,spices,8
547,08:38:00,177,Laura Simoneaux,drinks,8
548,08:38:00,178,Jessica Frost,dairy,8
549,08:38:00,179,Andrew Thomson,dairy,8
550,08:38:00,180,Kelly Sherman,dairy,8
551,08:39:00,161,Willie Josilowsky,spices,8
552,08:39:00,162,Randy Nichols,checkout,8
553,08:39:00,163,Ernestine Jarvis,checkout,8
554,08:39:00,177,Laura Simoneaux,checkout,8
555,08:39:00,181,Eddie Day,fruit,8
556,08:39:00,182,Stella Mize,fruit,8
557,08:39:00,183,Jamar Satterlee,fruit,8
558,08:39:00,184,Thomas Seiersen,spices,8
559,08:40:00,155,Jayson Schuller,checkout,8
560,08:40:00,158,Travis Wells,fruit,8
561,08:40:00,161,Willie Josilowsky,checkout,8
562,08:40:00,172,Robert Gray,checkout,8
563,08:40:00,178,Jessica Frost,spices,8
564,08:40:00,182,Stella Mize,spices,8
565,08:40:00,183,Jamar Satterlee,checkout,8
566,08:40:00,184,Thomas Seiersen,drinks,8
567,08:40:00,185,Stella Adams,dairy,8
568,08:41:00,123,John Boday,drinks,8
569,08:41:00,158,Travis Wells,spices,8
570,08:41:00,168,Clair Bailey,fruit,8
571,08:41:00,169,Sharon Johnson,dairy,8
572,08:41:00,171,Joshua Demartino,checkout,8
573,08:41:00,176,Eva Jones,checkout,8
574,08:41:00,179,Andrew Thomson,drinks,8
